timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
317220.5825290834, 0.054202, -0.081593, -0.392015, -0.261237, -0.172953, 0.641049
317220.59250787506, 0.044921, -0.049454, -0.447899, -0.245798, -0.006582, 0.651951
317220.6025385001, 0.040353, -0.011575, -0.482350, -0.184979, 0.195875, 0.690505
317220.61252225004, 0.040628, 0.019136, -0.498075, -0.068887, 0.438412, 0.746849
317220.6225114584, 0.060275, 0.035627, -0.482931, 0.123796, 0.638456, 0.807740
317220.6325084167, 0.103935, 0.032684, -0.415993, 0.356062, 0.761398, 0.865039
317220.64253704174, 0.148244, 0.026557, -0.312366, 0.575071, 0.812084, 0.912857
317220.6526738334, 0.180094, 0.022056, -0.189838, 0.737678, 0.808755, 0.949175
317220.66252366675, 0.199029, 0.019164, -0.054607, 0.811077, 0.754094, 0.978042
317220.6725346667, 0.203012, 0.027646, 0.067109, 0.789452, 0.651167, 0.975336
317220.6925387084, 0.214297, -0.012275, 0.241615, 0.531184, 0.362694, 0.857636
317220.6925387084, 0.214297, -0.012275, 0.241615, 0.531184, 0.362694, 0.857636
317220.7125858334, 0.222438, -0.035458, 0.269901, 0.159981, 0.071165, 0.631644
317220.7225291667, 0.232842, -0.028722, 0.227174, 0.006206, 0.002895, 0.533445
317220.7325087917, 0.241540, -0.003932, 0.160872, -0.111110, -0.010857, 0.463929
317220.74251616676, 0.251920, 0.025385, 0.089369, -0.184367, 0.013148, 0.420481
317220.7525500001, 0.262970, 0.055884, 0.019700, -0.208836, 0.077110, 0.401520
317220.76251200004, 0.274315, 0.083146, -0.039861, -0.196479, 0.181165, 0.407944
317220.77250300004, 0.287801, 0.110655, -0.076221, -0.150772, 0.300849, 0.444260
317220.7824005834, 0.298837, 0.141139, -0.097977, -0.084662, 0.430492, 0.509266
317220.7924946251, 0.306794, 0.164882, -0.099281, -0.007139, 0.560689, 0.599164
317220.8025157084, 0.312968, 0.175994, -0.080912, 0.071581, 0.649103, 0.699840
317220.8125489584, 0.308985, 0.176424, -0.049916, 0.151551, 0.685296, 0.779365
317220.8224776667, 0.288995, 0.170384, -0.017825, 0.224750, 0.683256, 0.829648
317220.8324454167, 0.260552, 0.161825, 0.006751, 0.288222, 0.650766, 0.852111
317220.84250500007, 0.226230, 0.156314, 0.023585, 0.348479, 0.620224, 0.839414
317220.86251704174, 0.183217, 0.157517, 0.034157, 0.437548, 0.566568, 0.772512
317220.8725194584, 0.182767, 0.166087, 0.028901, 0.482821, 0.573740, 0.741718
317220.8825169167, 0.187938, 0.177019, 0.021028, 0.525019, 0.591717, 0.726579
317220.8922928334, 0.197426, 0.198773, 0.022675, 0.556417, 0.591445, 0.732714
317220.90250791673, 0.198988, 0.228622, 0.031639, 0.567147, 0.574323, 0.759337
317220.9125137084, 0.185120, 0.255225, 0.036617, 0.558092, 0.558475, 0.804990
317220.9224385834, 0.163805, 0.275668, 0.042929, 0.522888, 0.538367, 0.844059
317220.9325396251, 0.129917, 0.294800, 0.051953, 0.455222, 0.501395, 0.877681
317220.9425528334, 0.099126, 0.295617, 0.056973, 0.363727, 0.455782, 0.900386
317220.95245483343, 0.068603, 0.292234, 0.041421, 0.281256, 0.432996, 0.905034
317220.9615494167, 0.045376, 0.277599, 0.005593, 0.210433, 0.431721, 0.895287
317220.9725268334, 0.026659, 0.261038, -0.034686, 0.158680, 0.465366, 0.878994
317220.9825338751, 0.011911, 0.250410, -0.073264, 0.133867, 0.527892, 0.864872
317220.99224804173, 0.001572, 0.239587, -0.109730, 0.140684, 0.611138, 0.851924
317221.00255787506, 0.001927, 0.229080, -0.135320, 0.170024, 0.703619, 0.843564
317221.01252616674, 0.012004, 0.218336, -0.137835, 0.211314, 0.766539, 0.839468
317221.02244554175, 0.025972, 0.214849, -0.118443, 0.256555, 0.803271, 0.846037
317221.03251387505, 0.048481, 0.213680, -0.093766, 0.308853, 0.808399, 0.872030
317221.04252091673, 0.083754, 0.203929, -0.062799, 0.361525, 0.800296, 0.909455
317221.06234262505, 0.164000, 0.171535, 0.027198, 0.427030, 0.618615, 0.955044
317221.0725103334, 0.191080, 0.169153, 0.077903, 0.392826, 0.400205, 0.963376
317221.08174387505, 0.192032, 0.170977, 0.076911, 0.348240, 0.262384, 0.965489
317221.09244816675, 0.209695, 0.199306, 0.121173, 0.123772, -0.104029, 0.996958
317221.1025162084, 0.203003, 0.222591, 0.062364, -0.067741, -0.195512, 1.049793
317221.1125187084, 0.196734, 0.234206, -0.030642, -0.263194, -0.144169, 1.119069
317221.1225241667, 0.211849, 0.220626, -0.141672, -0.431717, 0.050301, 1.187000
317221.1325362917, 0.233419, 0.203211, -0.256344, -0.550284, 0.373842, 1.258186
317221.1425178334, 0.257204, 0.194164, -0.329891, -0.625835, 0.721666, 1.328646
317221.15260137507, 0.290258, 0.197175, -0.342733, -0.674279, 1.007497, 1.430891
317221.16181762505, 0.289114, 0.194266, -0.341158, -0.689284, 1.113768, 1.496294
317221.17245929176, 0.346496, 0.229471, -0.234632, -0.695224, 1.219852, 1.721449
317221.1825830417, 0.343664, 0.233909, -0.161095, -0.684465, 1.125901, 1.865160
317221.1925130417, 0.319454, 0.231696, -0.092911, -0.679036, 0.915005, 1.977210
317221.2025158334, 0.291980, 0.226177, -0.054169, -0.661360, 0.670605, 2.063033
317221.21251325007, 0.263810, 0.222731, -0.063391, -0.631934, 0.497919, 2.130913
317221.2225201667, 0.248173, 0.228812, -0.104259, -0.582449, 0.438006, 2.213196
317221.2325973334, 0.242938, 0.237246, -0.148224, -0.513772, 0.474459, 2.317043
317221.24255891674, 0.239488, 0.249716, -0.178441, -0.406383, 0.579247, 2.444721
317221.26242950006, 0.242502, 0.251103, -0.194080, -0.185532, 0.774254, 2.641887
317221.27252391673, 0.231068, 0.255623, -0.180590, -0.042834, 0.880858, 2.760204
317221.2818817084, 0.205492, 0.257971, -0.139206, 0.084548, 0.973202, 2.865847
317221.2924905834, 0.176941, 0.254968, -0.089705, 0.193837, 1.020047, 2.943064
317221.3025794584, 0.147596, 0.252996, -0.031384, 0.293614, 1.010864, 2.988647
317221.3025794584, 0.147596, 0.252996, -0.031384, 0.293614, 1.010864, 2.988647
317221.32251241675, 0.077447, 0.261449, 0.053717, 0.507302, 0.914452, 3.039898
317221.33258566674, 0.045208, 0.272566, 0.068046, 0.646165, 0.848222, 3.057137
317221.3425385834, 0.023552, 0.284270, 0.076591, 0.794894, 0.759327, 3.076074
317221.35256250005, 0.000495, 0.300984, 0.082653, 0.958178, 0.662905, 3.080478
317221.36242550006, -0.020167, 0.311122, 0.075634, 1.125357, 0.626002, 3.086222
317221.37252812507, -0.045544, 0.319517, 0.056585, 1.254540, 0.649196, 3.102160
317221.3825742917, -0.060670, 0.326108, 0.051691, 1.333351, 0.731809, 3.101114
317221.3924417084, -0.084690, 0.316565, 0.052277, 1.365363, 0.877135, 3.083791
317221.4025777917, -0.095209, 0.282678, 0.052653, 1.353714, 1.056920, 3.007017
317221.4125172917, -0.114294, 0.232224, 0.071470, 1.277163, 1.184005, 2.869686
317221.42243966676, -0.126304, 0.174762, 0.127537, 1.137348, 1.228940, 2.659396
317221.4325681251, -0.130460, 0.110360, 0.178185, 0.955542, 1.242408, 2.388143
317221.44256875006, -0.153125, 0.061211, 0.202447, 0.723964, 1.223442, 2.084974
317221.4524602084, -0.170446, 0.026963, 0.234477, 0.438943, 1.092914, 1.741913
317221.46242587507, -0.193907, -0.005753, 0.277671, 0.059289, 0.791514, 1.361415
317221.4725155834, -0.250954, -0.030112, 0.332462, -0.472561, 0.229908, 0.918239
317221.48204379174, -0.336043, -0.032002, 0.386018, -1.055703, -0.369841, 0.481781
317221.50243362505, -0.368760, -0.031006, 0.068199, -1.688436, -0.922500, -0.229815
317221.5125558334, -0.375040, 0.009199, -0.179471, -1.796239, -0.886560, -0.461434
317221.5224329584, -0.345568, 0.060485, -0.354864, -1.798678, -0.620872, -0.579273
317221.5324735834, -0.306390, 0.101456, -0.517469, -1.713378, -0.180851, -0.608852
317221.54255879176, -0.306480, 0.144973, -0.620770, -1.595255, 0.377950, -0.582391
317221.55251312506, -0.333058, 0.178821, -0.637534, -1.502535, 0.967596, -0.511378
317221.56243387505, -0.342859, 0.190148, -0.561784, -1.449868, 1.447731, -0.418819
317221.57252100005, -0.323187, 0.180503, -0.427138, -1.379571, 1.709278, -0.349502
317221.5825674584, -0.269955, 0.146619, -0.277711, -1.249034, 1.775743, -0.295997
317221.5925097084, -0.224718, 0.120576, -0.150467, -1.054752, 1.719770, -0.220293
317221.6025408751, -0.180363, 0.106608, -0.046043, -0.832866, 1.576377, -0.118159
317221.6125245834, -0.148853, 0.103460, 0.050176, -0.646101, 1.358258, 0.013187
317221.62244079175, -0.126899, 0.095691, 0.164797, -0.531436, 1.046732, 0.162132
317221.63256929175, -0.112078, 0.081032, 0.280620, -0.510686, 0.682409, 0.290649
